,meanAnIndFloodDuration,cvAnIndFloodDuration,meanAnIndOverbankFloodDuration,returnPeriodIndBankfullQ,meanAnFloodDuration,cvFloodDuration,meanAnOverbankFloodDuration,meanAnOverbankFloodVolRelBankfull,bankfullQ,meanQ,YearEvent1,YearEvent2,YearEvent5,YearEvent10,YearEvent15,YearEvent20,meanAnDailyQ,medQ,specificMeanQ,specificMedQ,cvMeanQ,skewnessQ,meanQ01,meanQ02,meanQ03,meanQ04,meanQ05,meanQ06,meanQ07,meanQ08,meanQ09,meanQ10,meanQ11,meanQ12,cvQ01,cvQ02,cvQ03,cvQ04,cvQ05,cvQ06,cvQ07,cvQ08,cvQ09,cvQ10,cvQ11,cvQ12,seasonMeanQ1,seasonMeanQ2,seasonMeanQ3,seasonMeanQ4,seasonCvQ1,seasonCvQ2,seasonCvQ3,seasonCvQ4,specificAnMeanQ,CvAnQ,skewnwssAnQ,specificAnMedQ,medAnMinQ,exceedQ75.,exceedQ90.,exceedQ99.,specificMeanAnMin,medAnMaxQrelativeToMeanAnDailyQ,exceedQ1.,exceedQ10.,exceedQ25.,specificMeanAnMax,volHighQ1x,volHighQ3x,volHighQ7x,ARI1,ARI2,ARI3,ARI4,ARI5,ARI6,skewAnMaxQ,meanAnSpell75.Exceed,meanAnSpell90.Exceed,meanAnSpell99.Exceed,cvAnSpell75.Exceed,cvAnSpell90.Exceed,cvAnSpell99.Exceed,meanAnSpell25.Exceed,meanAnSpell10.Exceed,meanAnSpell1.Exceed,cvAnSpell25.Exceed,cvAnSpell10.Exceed,cvAnSpell1.Exceed,meanAnSpell3x,meanAnSpell7x,meanAnMinMov1,cvAnMinMov1,meanAnMinMov3,cvAnMinMov3,meanAnMinMov7,cvAnMinMov7,meanAnMinMov30,cvAnMinMov30,meanAnMinMov90,cvAnMinMov90,lowQDuration75,lowQDuration90,lowQDuration99,CVlowQDuration75,CVlowQDuration90,CVlowQDuration99,meanAnZeroFlowDays,meanAnMaxMov1,cvAnMaxMov1,meanAnMaxMov3,cvAnMaxMov3,meanAnMaxMov7,cvAnMaxMov7,meanAnMaxMov30,cvAnMaxMov30,meanAnMaxMov90,cvAnMaxMov90,highQduration25,highQduration10,highQduration01,cvHighQduration25,cvHighQduration10,cvHighQduration01,predictabilityMeanQ,constancyMeanQ,seasonalityMeanQ,perenniality,JDayAnMin,sdJDayAnMin,predictabilityMinQ,seasonalityMinQ,JDayAnMax,sdJDayAnMax,predictabilityMaxQ,seasonalityMaxQ,riseRate,cvRise,fallRate,cvFall,revPerYear,cvRev
cvQ03,-0.412395987,0.029556221,0.412931681,-0.414173087,-0.468537561,-0.175082422,0.408304264,-0.456048468,-0.521649915,-0.537549121,-0.524469499,-0.520383568,-0.51344961,-0.502969889,-0.496452592,-0.497221857,-0.53754694,-0.42491424,-0.207683582,-0.113779242,0.894574168,0.431236996,-0.538519861,-0.539587791,-0.534257639,-0.509808187,-0.459730314,-0.396065373,-0.347875638,-0.342793665,-0.337771755,-0.41944444,-0.503013574,-0.555527528,0.837896962,0.886630873,1,0.464259383,0.292356764,0.290044595,0.305957841,0.212170611,0.106703195,0.076011946,0.126140904,0.564177698,0.009850272,-0.032884934,0.022135192,0.055761737,0.866101449,0.879023612,0.285746648,0.067992105,-0.207721424,0.557705193,0.459373714,-0.259865198,-0.016788889,-0.345823447,-0.325473431,-0.325783865,-0.098615829,0.772416317,-0.531473553,-0.541876325,-0.519938458,0.238649059,0.65188651,0.65188651,0.65188651,-0.527071477,-0.524713256,-0.516999047,-0.512137929,-0.498775996,-0.496125881,0.216114504,0.411848385,0.485230663,0.492173782,0.051070957,-0.229426551,-0.261200388,-8.23E-17,8.23E-17,-1.08E-16,0.322974785,-0.015838615,-0.225654092,-0.690711903,-0.108459195,-0.31358599,-0.019846273,-0.310648605,-0.070837256,-0.308803329,0.018306783,-0.315536941,0.343657383,-0.33345067,0.065944614,-0.529690768,-0.482180448,-0.172861903,-0.614502123,-0.576834463,-0.372334151,0.493805833,-0.518099455,0.499687572,-0.52499615,0.384881536,-0.530714478,0.419370692,-0.536864026,0.564108105,-0.538042394,0.488215369,-0.655866559,-0.197774785,-0.44775889,0.126577217,-0.323846184,-0.152629854,0.095104383,0.53769452,-0.712431816,0.003963507,-0.138876003,0.634314454,0.652489441,-0.560300432,0.075741474,0.43636218,-0.411945214,-0.112610212,-0.539898097,0.773215361,-0.503958731,0.584247076,0.498961311,0.086836734
cvQ04,-0.41039572,-0.46405194,0.38494337,-0.411190899,-0.352045377,-0.278656233,0.390716332,-0.139106862,-0.21071683,-0.215946839,-0.210178873,-0.210014863,-0.205533539,-0.187180509,-0.178698906,-0.180363659,-0.215971218,-0.133625137,-0.1145972,-0.204663185,0.56091039,0.292608564,-0.219742647,-0.220221582,-0.210488965,-0.18359168,-0.17726872,-0.130668178,-0.096674722,-0.087937758,-0.084805964,-0.139921896,-0.235220583,-0.247242222,0.245690875,0.444938807,0.464259383,1,0.06874233,0.434332984,0.48049272,0.171631502,0.280137274,0.081230372,0.081774559,0.15488341,0.264977891,-0.282901203,-0.177075965,-0.029648438,0.334397588,0.780957757,0.359320161,0.03082287,-0.114453258,-0.022031806,-0.199561505,-0.125293748,-0.158919087,-0.069500301,-0.055903512,-0.050656099,-0.193474058,0.598443142,-0.208977712,-0.223146189,-0.211834743,0.221850071,0.658783739,0.658783739,0.658783739,-0.2115296,-0.205166932,-0.203859131,-0.206204199,-0.194548919,-0.193791174,0.48308452,0.515945865,0.543647782,0.489691833,-0.4082097,-0.39540842,-0.215158176,-3.34E-16,3.34E-16,-3.27E-16,-0.303456223,-0.354667246,-0.514185182,-0.258152408,0.109142439,-0.051634906,-0.333891709,-0.051052981,-0.44715889,-0.0504568,-0.488456805,-0.053816058,0.34689754,-0.06541809,0.341737668,-0.305964071,-0.242505404,-0.094218287,-0.416843225,-0.354457125,-0.168679737,0.483342054,-0.19731362,0.448337527,-0.202372849,0.150915723,-0.206007698,0.033823857,-0.215142378,-0.18521833,-0.218086463,-0.239642871,-0.567000835,-0.358738254,-0.227290435,-0.481162166,-0.29813159,-0.165086068,0.440360706,0.483813041,-0.386764012,-0.19870562,-0.403475078,0.368558116,0.620311797,-0.426029273,-0.228193906,0.213679107,-0.401910936,0.45321972,-0.234116133,0.496963639,-0.181334808,0.275046524,0.426502802,0.000936355
cvQ05,-0.23833325,0.499832597,0.247120605,-0.241054506,-0.35107925,0.078199382,0.256217564,-0.244940264,-0.183376312,-0.148236352,-0.180506586,-0.186633341,-0.189391068,-0.205312167,-0.20614926,-0.201838171,-0.148364653,-0.424264721,-0.353364885,-0.316187828,0.282931705,-0.259494807,-0.132980297,-0.106828744,-0.154111073,-0.269987373,-0.380874317,-0.440824512,-0.463068195,-0.469892187,-0.466384152,-0.408539156,-0.261966857,-0.164553186,0.033591558,0.199049841,0.292356764,0.06874233,1,0.781648919,0.702454149,0.814863473,0.690617591,0.711281188,0.731559226,0.542497631,0.607041341,-0.601291497,-0.429132439,-0.269247351,0.131197926,0.335030825,0.827590587,0.779290863,-0.353530022,0.329265051,0.365247809,-0.327673864,-0.405651054,-0.460901522,-0.460848604,-0.458784869,-0.290755252,0.381570516,-0.165571459,-0.090666494,-0.22537311,-0.291373121,-0.03067148,-0.03067148,-0.03067148,-0.125423286,-0.156640665,-0.179232792,-0.178585945,-0.178883555,-0.169077823,-0.180683344,0.586083971,0.645127957,0.692946995,-0.506449904,-0.68135824,-0.633643587,1.22E-16,-1.22E-16,1.35E-16,-0.46401563,-0.247817332,0.08760841,0.279136219,0.389754431,-0.465804819,0.226191916,-0.467236262,0.307314315,-0.468151124,0.278595766,-0.468437437,0.684835009,-0.466661148,0.749231203,-0.435664646,-0.180665206,0.104392376,-0.5457984,-0.54288345,-0.472781132,0.694665713,-0.159326766,-0.228586967,-0.171090176,-0.376271377,-0.169521345,-0.377213292,-0.139352903,0.016472187,-0.136349951,0.226722741,-0.205848776,-0.024668062,-0.248426273,-0.305925214,0.299775304,0.452469602,0.338228083,0.373601615,-0.3078697,-0.442357855,-0.599878378,0.405526266,0.476408251,-0.355469108,-0.601140093,-0.371422585,0.230084344,-0.310877361,0.025684707,-0.08045812,-0.08712024,-0.25154905,0.285639223,0.072986888
cvQ06,-0.316747429,0.153103397,0.296799517,-0.318779807,-0.405092189,-0.141210249,0.300115339,-0.461966433,-0.371854675,-0.322305767,-0.367441254,-0.376001223,-0.384585338,-0.406824482,-0.41072463,-0.410932436,-0.322421034,-0.572544364,-0.38530147,-0.379862922,0.273685005,-0.238861176,-0.304839818,-0.284507817,-0.328600273,-0.430758278,-0.541730416,-0.604317554,-0.636521155,-0.640558936,-0.637457957,-0.553281115,-0.384916711,-0.315199379,-0.121255156,0.160458044,0.290044595,0.434332984,0.781648919,1,0.935206219,0.913366984,0.918002622,0.819841409,0.540984059,0.380191962,0.766847289,-0.78404396,-0.544798065,-0.201313459,0.001315712,0.481038082,0.988261035,0.63033211,-0.385380927,0.123624763,0.07697606,-0.360890086,-0.534689021,-0.626808878,-0.630060163,-0.626529623,-0.359175994,0.566372614,-0.345229838,-0.259905289,-0.360009576,-0.242093908,0.095263668,0.095263668,0.095263668,-0.309586887,-0.347749655,-0.372707604,-0.37826534,-0.379279294,-0.367506524,-0.047420108,0.568257103,0.760663262,0.841347996,-0.731987266,-0.898776952,-0.851509602,2.53E-16,-2.53E-16,2.75E-16,-0.614864614,-0.382239999,-0.130703744,0.271655422,0.429465955,-0.637662997,0.278848064,-0.639861412,0.289185286,-0.641157475,0.270082294,-0.639757444,0.846092534,-0.634055351,0.897422752,-0.657976025,-0.403512704,-0.004623259,-0.704021867,-0.713705332,-0.683740005,0.848495988,-0.353028196,-0.173571848,-0.361594802,-0.487609117,-0.353733249,-0.590548532,-0.318457768,-0.306566768,-0.31227491,-0.070582418,-0.433483693,-0.244794011,-0.336441833,-0.501701941,0.280368584,0.480066436,0.383869398,0.400577767,-0.312148876,-0.545964228,-0.786350294,0.334387169,0.509694798,-0.382506858,-0.750907457,-0.265235698,-0.111193353,0.148124417,-0.217108878,-0.063174279,-0.274140145,-0.260780677,0.463674719,0.136478209
cvQ07,-0.331498195,0.175637911,0.340775393,-0.33484586,-0.45232162,-0.100726256,0.344427591,-0.454160232,-0.373520465,-0.333164248,-0.370471782,-0.377290912,-0.382876452,-0.404068012,-0.408418225,-0.407520692,-0.333272205,-0.556805381,-0.347593341,-0.326917924,0.264668723,-0.166730384,-0.313986753,-0.297762892,-0.34076238,-0.438509673,-0.537197832,-0.585820893,-0.605531352,-0.616930214,-0.607112863,-0.535623895,-0.380738758,-0.32444264,-0.097925853,0.147678816,0.305957841,0.48049272,0.702454149,0.935206219,1,0.796409374,0.836950402,0.724835277,0.485093527,0.362793851,0.793921823,-0.864049569,-0.490232535,-0.090292169,-0.004698432,0.507300498,0.909522414,0.571434535,-0.347629135,0.114742389,0.151988802,-0.322716722,-0.474733582,-0.600431564,-0.600281014,-0.594596045,-0.306423457,0.533608209,-0.354511387,-0.277007288,-0.365519018,-0.199522945,0.120543158,0.120543158,0.120543158,-0.320897213,-0.356809486,-0.375973158,-0.379286849,-0.377919982,-0.368599133,-0.00298338,0.630303721,0.846025591,0.895578686,-0.727368036,-0.922457353,-0.825753163,-3.60E-16,3.60E-16,-3.21E-16,-0.599802436,-0.46862319,-0.044673325,0.199588845,0.347517914,-0.605936028,0.170764332,-0.608031375,0.269053776,-0.609504484,0.247452128,-0.610020858,0.933160116,-0.606100323,0.865262174,-0.590476991,-0.284555685,0.155840095,-0.606237269,-0.673580719,-0.650877046,0.899855043,-0.360681588,-0.121536476,-0.368945069,-0.449368416,-0.362308879,-0.562625082,-0.329300322,-0.317149809,-0.323143757,-0.03838918,-0.481858179,-0.241021505,-0.401769591,-0.480477292,0.291440864,0.575470229,0.386831002,0.370404731,-0.263345068,-0.494527273,-0.823120186,0.330482518,0.431323449,-0.301820198,-0.716388908,-0.238152089,-0.17188896,0.247509274,-0.232881625,-0.070619847,-0.285180159,-0.20349777,0.378230891,0.236647686
cvQ08,-0.237932669,0.216954932,0.216739968,-0.239350883,-0.329438637,-0.092184573,0.227513716,-0.523361488,-0.413535011,-0.362667943,-0.40888548,-0.417678894,-0.428272196,-0.454517434,-0.460080077,-0.462286404,-0.362783416,-0.63758391,-0.430858697,-0.39265208,0.198213835,-0.370318988,-0.344971284,-0.322562578,-0.368655725,-0.475408293,-0.59268316,-0.67267438,-0.718142407,-0.719251756,-0.719921979,-0.618090709,-0.42322739,-0.351740449,-0.170140871,0.148826879,0.212170611,0.171631502,0.814863473,0.913366984,0.796409374,1,0.924311867,0.878154652,0.545889234,0.407915557,0.697127173,-0.662298053,-0.578310572,-0.270260269,-0.023778657,0.313317964,0.958084105,0.659078795,-0.431002035,0.208783707,0.143266356,-0.40519367,-0.582512598,-0.712368256,-0.719778181,-0.71609024,-0.381333003,0.501646376,-0.385604609,-0.296802032,-0.402463899,-0.348912682,-0.087280029,-0.087280029,-0.087280029,-0.348609337,-0.387708179,-0.415671296,-0.423862749,-0.428985097,-0.415709803,-0.18481824,0.466350789,0.56946803,0.680591189,-0.704711737,-0.816814636,-0.862251114,-2.07E-16,2.07E-16,-2.53E-16,-0.523073307,-0.20662999,-0.059111121,0.321120199,0.43985308,-0.728427119,0.406648494,-0.730700844,0.427917969,-0.731862108,0.368563137,-0.728306432,0.748032824,-0.719073036,0.84161109,-0.676840853,-0.490901559,-0.146514493,-0.657578879,-0.6747851,-0.720956944,0.694268388,-0.397213582,-0.339526367,-0.403816096,-0.570487789,-0.395387856,-0.609623429,-0.358322919,-0.203683349,-0.351663357,0.040768907,-0.317998406,-0.150212795,-0.307762811,-0.413717302,0.33009372,0.473479281,0.284385798,0.332082131,-0.285316129,-0.561622979,-0.649822148,0.16745951,0.432028382,-0.350059835,-0.598505359,-0.214354052,0.031104026,-0.033414114,-0.253657906,-0.183350156,-0.322738488,-0.382025323,0.416726794,0.077541949
cvQ09,-0.338943373,0.077925013,0.307258433,-0.340196607,-0.40549506,-0.111603071,0.313377751,-0.495641153,-0.400544586,-0.346020543,-0.394929281,-0.405708473,-0.413252801,-0.434085148,-0.435615697,-0.435603738,-0.346185487,-0.652205968,-0.334865335,-0.377761229,0.119351641,-0.321367895,-0.329776099,-0.299144142,-0.349832943,-0.471133302,-0.609813316,-0.689671326,-0.729619987,-0.733101261,-0.731455126,-0.643250234,-0.464278292,-0.360511051,-0.259526983,0.051521878,0.106703195,0.280137274,0.690617591,0.918002622,0.836950402,0.924311867,1,0.893374647,0.591095594,0.390033678,0.724353501,-0.705846931,-0.57464508,-0.243839478,-0.119370994,0.280154163,0.929549157,0.695102646,-0.33496441,-0.016203253,-0.100606642,-0.297642298,-0.575505472,-0.715788905,-0.721198825,-0.716279631,-0.371152012,0.517645248,-0.368524304,-0.27478826,-0.409878448,-0.229234701,-0.010745495,-0.010745495,-0.010745495,-0.324704586,-0.365272045,-0.398510022,-0.405872876,-0.408480535,-0.392211335,-0.039331286,0.395292541,0.530802825,0.628542702,-0.722642307,-0.805917336,-0.809439035,3.54E-16,-3.54E-16,3.95E-16,-0.619704985,-0.326538435,-0.224369407,0.362790316,0.45198124,-0.729291992,0.368384594,-0.731664811,0.324325907,-0.732991711,0.310127976,-0.730494647,0.717588471,-0.723727246,0.9246157,-0.639493394,-0.42546386,-0.161842382,-0.589383683,-0.635926605,-0.705244884,0.640239031,-0.372988909,-0.276072472,-0.383329758,-0.585212202,-0.376955307,-0.690880682,-0.33856858,-0.437701672,-0.333537001,-0.212126169,-0.380306628,-0.258227043,-0.381773057,-0.465762835,0.345136659,0.550707225,0.347985462,0.289304775,-0.178358032,-0.562807399,-0.676568547,0.152303561,0.37678369,-0.272212947,-0.626421829,-0.208869315,-0.063075981,0.201466239,-0.190647819,-0.215936718,-0.295404512,-0.321460228,0.441570244,0.077614585
cvQ10,-0.198079756,0.321766349,0.150498445,-0.198598705,-0.288733529,0.104275294,0.162557595,-0.422147425,-0.317182596,-0.266539856,-0.313028884,-0.321956694,-0.330945988,-0.354010924,-0.355964521,-0.353656588,-0.266702856,-0.619515148,-0.348815456,-0.4184849,0.129624016,-0.389268303,-0.24792096,-0.216280484,-0.271675115,-0.40907602,-0.561406175,-0.655203906,-0.704782928,-0.713487377,-0.713550172,-0.60293351,-0.392780746,-0.277080102,-0.218069342,0.0984094,0.076011946,0.081230372,0.711281188,0.819841409,0.724835277,0.878154652,0.893374647,1,0.650486993,0.468419396,0.636043495,-0.556462841,-0.59391558,-0.357079228,-0.059880015,0.187630807,0.839874243,0.745442357,-0.348946817,0.129570488,0.07116853,-0.320974635,-0.626014506,-0.703787888,-0.713856247,-0.711578078,-0.418995089,0.483418319,-0.289569954,-0.19178835,-0.343217199,-0.260573586,-0.13266902,-0.13266902,-0.13266902,-0.237383123,-0.280913356,-0.313718165,-0.320943444,-0.31978827,-0.304633806,-0.195083773,0.240691785,0.399650673,0.496562686,-0.628880159,-0.718921695,-0.722674477,0,0,1.53E-17,-0.55569063,-0.239554776,-0.046892819,0.415386927,0.474321177,-0.72439665,0.430534439,-0.727287539,0.45462968,-0.728896338,0.399803321,-0.724727817,0.59836236,-0.712439346,0.82240226,-0.520391228,-0.325178781,-0.146515998,-0.495359473,-0.606096036,-0.622958916,0.5092765,-0.287562709,-0.403894493,-0.30065479,-0.598802604,-0.297529862,-0.616708769,-0.257670923,-0.25483156,-0.252377012,-0.019626036,-0.188728537,-0.19491757,-0.327926018,-0.36141593,0.489931323,0.685902985,0.314206989,0.291022105,-0.208060365,-0.588874214,-0.567380216,0.096680703,0.332663156,-0.280775404,-0.460910341,-0.278562953,0.0387858,0.03105897,-0.068637739,-0.287659816,-0.202533113,-0.39932083,0.376925756,0.170727566
cvQ11,-0.239586645,0.341415835,0.187900676,-0.239744448,-0.277287129,0.130008467,0.198490366,-0.007161324,-0.006420777,0.010481948,-0.003882585,-0.009636528,-0.004512697,-0.001226308,0.012614255,0.020791939,0.01024738,-0.336215236,-0.293125017,-0.38587492,0.27846735,-0.277247355,0.019883379,0.062107268,0.011767492,-0.124568652,-0.284690101,-0.355798071,-0.374785265,-0.383860098,-0.379399928,-0.345167232,-0.243141227,-0.068729673,0.003703198,0.182801133,0.126140904,0.081774559,0.731559226,0.540984059,0.485093527,0.545889234,0.591095594,0.650486993,1,0.754490032,0.529844861,-0.424372292,-0.488272559,-0.524664076,0.148867468,0.244053566,0.569459197,0.975908564,-0.293171947,0.178812118,0.089535202,-0.248863372,-0.456953381,-0.361591193,-0.362569589,-0.35997703,-0.370669465,0.37498355,0.008698675,0.061298364,-0.138204021,-0.196356293,-0.009123096,-0.009123096,-0.009123096,0.063236195,0.041441133,0.012420238,0.015820524,0.026161654,0.039124566,-0.08537275,0.348037476,0.36373671,0.37145446,-0.467081223,-0.498340136,-0.41275025,-4.29E-16,4.29E-16,-4.54E-16,-0.497045112,-0.175805169,-0.071753596,0.335064387,0.530756805,-0.367688414,0.057837773,-0.369239335,0.001661278,-0.369890763,0.084887162,-0.368754692,0.394832404,-0.366092063,0.678191309,-0.163819136,0.046518822,-0.002009111,-0.357856458,-0.36683519,-0.275792868,0.371954488,0.045256698,-0.230821246,0.023949693,-0.348884431,0.011820748,-0.33760273,0.030942323,-0.136815614,0.026475792,0.014231836,-0.072027913,0.102155439,-0.215237702,-0.315068502,0.35816104,0.459936503,0.613983116,0.493866672,-0.290935648,-0.520597536,-0.489190278,0.272780003,0.426867013,-0.302464786,-0.324412891,-0.449068135,0.399173922,-0.287211394,0.31365869,-0.121306801,0.111353261,-0.167372446,0.159928846,0.055861042
cvQ12,-0.335802399,0.274246696,0.285891747,-0.335572205,-0.362501182,0.078951764,0.292608077,-0.189517211,-0.208064059,-0.190444281,-0.206868797,-0.210291809,-0.198685585,-0.195475032,-0.179831515,-0.1776715,-0.190640508,-0.424994392,-0.339537617,-0.437312469,0.663351925,-0.099650638,-0.185678935,-0.150210788,-0.184803778,-0.281016452,-0.389794496,-0.430250777,-0.429067336,-0.434462785,-0.430561377,-0.440873444,-0.409544261,-0.278916642,0.482053138,0.63251982,0.564177698,0.15488341,0.542497631,0.380191962,0.362793851,0.407915557,0.390033678,0.468419396,0.754490032,1,0.318506861,-0.168979939,-0.409447485,-0.522286292,0.627756126,0.526320955,0.414332404,0.709137627,-0.339584908,0.507172109,0.30256652,-0.341400817,-0.421151957,-0.421739803,-0.416441491,-0.417705139,-0.425982895,0.658749176,-0.194274903,-0.148930977,-0.291029767,-0.0342051,0.20106397,0.20106397,0.20106397,-0.142639088,-0.165455147,-0.19130916,-0.187057067,-0.172944171,-0.154919755,-0.108805386,0.396328154,0.367216112,0.365604086,-0.244378242,-0.358408582,-0.346942194,7.99E-16,-7.99E-16,8.19E-16,-0.032454859,0.155115125,-0.112526798,-0.074179254,0.435874329,-0.414796358,-0.01156913,-0.414313584,-0.097901289,-0.414021488,0.043716547,-0.415287231,0.348870838,-0.420285815,0.38824416,-0.367953826,-0.286427499,-0.220623795,-0.471126956,-0.591162329,-0.385629003,0.370860573,-0.16073674,-0.034299402,-0.18047015,-0.130447769,-0.191786425,-0.046123456,-0.175277529,0.250088907,-0.17875376,0.343020593,-0.283026278,0.165226261,-0.375370192,-0.103891824,0.2088874,0.278504597,0.54443109,0.720407689,-0.674690979,-0.446912001,-0.257766017,0.419460161,0.578968228,-0.535885254,-0.031446022,-0.12430736,0.200368256,-0.39446077,0.006534328,0.320286919,-0.110323035,0.150620878,0.328780428,0.189773337
seasonMeanQ1,0.076910533,0.15471167,-0.088382935,0.076278623,-0.022415643,-0.239474274,-0.081715101,-0.079947865,0.014645882,0.026799113,0.016339257,0.011940862,0.001658028,-0.015895285,-0.023686828,-0.029568927,0.026731612,-0.213290187,-0.643398825,-0.646092748,0.134333908,-0.649830838,0.047304716,0.050963892,0.016768468,-0.062710375,-0.175830738,-0.258303705,-0.312356157,-0.324414285,-0.314980374,-0.181652422,0.018205865,0.060153294,-0.332019935,0.003379804,0.009850272,0.264977891,0.607041341,0.766847289,0.793921823,0.697127173,0.724353501,0.636043495,0.529844861,0.318506861,1,-0.926322788,-0.836637193,-0.500497734,-0.164223356,0.29534596,0.759452527,0.631314934,-0.643397354,0.260681242,0.210876652,-0.599516519,-0.784567028,-0.308673383,-0.322865645,-0.321439815,-0.627946102,0.336122198,0.022348215,0.05292476,-0.006637351,-0.624254245,-0.289472557,-0.289472557,-0.289472557,0.039087874,0.021042021,0.009545392,0.004973866,0.001999823,0.005857881,-0.348564733,0.440674928,0.634679372,0.702693218,-0.733156718,-0.815900396,-0.751101785,1.43E-15,-1.43E-15,1.43E-15,-0.764394299,-0.250512872,0.258046797,0.547081671,0.705439576,-0.339368812,0.217089847,-0.342327732,0.304573709,-0.342444382,0.338185872,-0.332921837,0.770593377,-0.313492937,0.687381393,-0.326557264,-0.122305126,0.244647855,-0.371873624,-0.492420807,-0.417948662,0.708556819,0.014344443,-0.580561604,0.012233314,-0.812749637,0.016003741,-0.773746014,0.033520367,-0.347236607,0.037118036,0.063971169,-0.051648701,0.250632965,0.069720244,-0.54948855,0.576108075,0.505462891,0.665959892,0.516226125,-0.289610015,-0.831625704,-0.781012818,0.027527727,0.370724726,-0.36753906,-0.6611323,-0.575761932,0.354809538,-0.069631146,0.083625248,-0.440830863,0.065439104,-0.580554527,-0.06097804,0.309463285
seasonMeanQ2,0.07554483,-0.179544183,-0.098744812,0.078178986,0.197926622,0.226283387,-0.099743511,0.202642947,0.103132901,0.077318496,0.10082219,0.106347641,0.116500215,0.137421261,0.145762945,0.150806999,0.077378645,0.288743388,0.412581183,0.346377546,-0.015340754,0.419624435,0.055504066,0.051887968,0.089478213,0.171913154,0.266334633,0.329913466,0.368679431,0.382097147,0.370875593,0.258277881,0.069559843,0.036401003,0.367230295,0.121141803,-0.032884934,-0.282901203,-0.601291497,-0.78404396,-0.864049569,-0.662298053,-0.705846931,-0.556462841,-0.424372292,-0.168979939,-0.926322788,1,0.572223121,0.149031486,0.274321772,-0.273649725,-0.766011433,-0.536885716,0.412576709,-0.065210525,-0.160971321,0.368858717,0.510966822,0.364089932,0.373473971,0.369469397,0.324535385,-0.256310005,0.091546885,0.041129156,0.095697216,0.446625226,0.200185054,0.200185054,0.200185054,0.072868503,0.098214315,0.110409997,0.113809735,0.118012033,0.114103354,0.216480913,-0.513446483,-0.745077318,-0.799835193,0.706280346,0.852299247,0.75783789,1.11E-15,-1.11E-15,1.06E-15,0.736463426,0.465991704,-0.19216399,-0.39910211,-0.414378656,0.386597895,-0.203302821,0.389255369,-0.319429948,0.389813091,-0.34458522,0.384151862,-0.854391713,0.370451892,-0.704085679,0.364665193,0.080446361,-0.322310756,0.389620443,0.436516105,0.465977714,-0.80154825,0.104017766,0.401766883,0.106020429,0.659816505,0.098627964,0.725815064,0.074129151,0.436954046,0.068337028,0.05885916,0.221325703,-0.0433638,0.118990861,0.49218332,-0.443508473,-0.545499152,-0.477019697,-0.284546077,0.072762029,0.562993101,0.806016082,-0.115418512,-0.207228846,0.130206827,0.753355181,0.489262233,-0.134378868,-0.137986683,0.027521431,0.392849068,0.046146224,0.454058182,-0.03319788,-0.247957225
seasonMeanQ3,-0.272555301,-0.047094021,0.327683065,-0.274898401,-0.227700287,0.220206846,0.314009588,-0.072587708,-0.139146528,-0.127849277,-0.139409094,-0.137923641,-0.129073268,-0.119676271,-0.113062548,-0.107280377,-0.127803568,0.071246111,0.816676769,0.91378114,-0.266256923,0.804541599,-0.141068056,-0.141316653,-0.123276875,-0.076208856,0.025267141,0.109671719,0.17150117,0.17777407,0.173795191,0.044223373,-0.120140361,-0.149574125,0.199179416,-0.189893752,0.022135192,-0.177075965,-0.429132439,-0.544798065,-0.490232535,-0.578310572,-0.57464508,-0.59391558,-0.488272559,-0.409447485,-0.836637193,0.572223121,1,0.844978086,-0.031044556,-0.251034142,-0.554987381,-0.555887924,0.816686403,-0.467112408,-0.223631097,0.786286481,0.983444952,0.170875611,0.188262871,0.191199754,0.908958126,-0.382379375,-0.138392137,-0.131173277,-0.092011095,0.712529949,0.329514564,0.329514564,0.329514564,-0.144856007,-0.142674443,-0.137038414,-0.131032865,-0.129785976,-0.131634974,0.42655109,-0.198712017,-0.295993716,-0.370796982,0.571794839,0.544920079,0.551525261,-7.08E-17,7.08E-17,-4.17E-17,0.591696896,-0.115774453,-0.271430384,-0.603795307,-0.918462908,0.205202355,-0.210063959,0.207749936,-0.236865327,0.207105275,-0.262090151,0.194424572,-0.449653446,0.171832113,-0.477758309,0.215223163,0.189512426,-0.046227292,0.242792413,0.447289866,0.263194229,-0.382101589,-0.135589498,0.683083904,-0.135223861,0.828644041,-0.133909564,0.649658399,-0.136490542,0.129473734,-0.136642452,-0.222644008,-0.181009921,-0.442982673,-0.311267773,0.477726473,-0.601513469,-0.31216591,-0.716966107,-0.6849505,0.516351161,0.996423234,0.526171675,0.125681262,-0.503934943,0.616743571,0.33985722,0.494181474,-0.526351153,0.305676458,-0.165013668,0.398666165,-0.161256974,0.608842924,0.165091805,-0.322420874
