Gauge,Assignments
8020551,3
8020080,2
8020554,0
8020070,2
8020060,4
8020061,8
8020082,7
8020032,0
8020080,2
8020555,3
8020030,4
8020552,0
8020070,2
8021981,5
8022310,5
8020050,3
8020081,7
8020070,2
8022130,6
8021980,5
8020553,3
8020550,4
8020010,5
8021560,0
8022020,5
8022030,0
8020070,2
8021370,0
8020080,2
8020031,0
8020020,1
8020062,3
8020040,9
8020080,2
