YearEvent2,277.3149406,76.96429467,8177.470183,310.0678327,69.38087002,61.44287366,450.7989592,7558.442012,58.17752488,654.8487642,7506.375708,7607.43039,7636.600841,7395.084331,6780.434215,7130.184872,7244.032265,6845.864724,86.81966243,19.77026252,6485.887575,91.90389466,3875.881687,32.99185465,3182.389313,154.8031108,3461.737262,2117.374217,1208.17268,960.76692,1322.898308,3076.256179,1175.714942,276.0861213
YearEvent5,539.1863446,146.1998681,10791.19932,389.5167347,88.07079032,91.01273405,707.9403819,10593.07895,89.64351643,1013.037409,9935.92264,10030.56966,10153.50741,9786.227168,9054.412968,9120.785557,9718.641477,8792.108892,142.498626,25.54550721,8759.25247,120.8215712,5322.865787,52.13617991,4453.565726,233.4000958,4864.646062,2920.604663,2164.085498,1677.165038,1966.673237,4365.978711,1575.524736,347.0250322
YearEvent10,687.1555126,225.0072196,13305.90332,472.7137683,102.9593303,109.0873982,876.4868496,12039.67998,122.3634147,1379.168924,12603.11833,12233.5296,12884.92623,11963.19071,11275.37206,11160.11727,11863.70491,10801.21238,197.1738884,34.57916739,11226.57399,158.3566922,6590.881334,68.1285214,5444.747923,315.2305201,5833.247674,3380.859811,2589.331561,2077.426345,2750.24949,5361.264674,1973.617503,432.8271501
YearEvent15,740.922554,252.2491559,14280.94316,516.7854903,115.3624951,116.8358141,1197.4198,13329.93641,137.3334207,1548.032207,13355.7685,13393.52005,13533.31899,13110.39797,12045.64418,11997.78972,12618.56105,11621.95323,223.72624,43.10321671,11800.44972,183.6822303,6907.068366,74.21817596,5902.310914,381.1054662,6074.069304,3866.709675,3131.580811,2235.625189,2991.267296,5864.907314,2308.440883,452.8839219
YearEvent20,765.3311718,262.3707711,14735.67178,572.7534011,126.4529155,121.0315838,1364.090248,14037.05577,141.5554617,1619.81566,13753.42849,13815.96712,13890.23488,13528.31859,12381.56701,12456.54061,12923.06677,12074.2654,256.4968966,52.64466705,12261.6215,190.6581742,7094.944468,82.13793791,6131.625154,399.2281697,6235.889501,4081.375449,3260.150752,2393.548642,3164.163083,6104.097878,2537.390823,514.8952221
meanAnDailyQ,4.412033966,0.646297814,206.2374939,11.82858485,2.746894845,0.56453623,6.354436061,157.9340808,0.491638333,8.816420381,176.6504309,176.8114684,168.8211693,160.8847525,145.659169,152.8189121,166.8310003,134.0544564,2.258097629,0.54641514,136.6886791,1.091618202,76.19051928,0.382303533,59.7703579,1.714223942,68.15900868,43.52385909,18.2950906,13.4102791,16.81774968,56.86507204,19.31177254,4.91024142
medQ,0.00573514,0,12.8597592,0.365992581,0.084920945,0,0,7.943817473,0,0,4.471474455,0,0,0,1.407961797,0,0,0,0.013879623,0.002268428,7.358196386,0,2.799071151,0,3.458333785,0.000586453,1.981396707,2.528617223,0.018630045,0.009010952,0.154854291,3.137378034,0.514080004,0
specificMeanQ,5.12E-05,2.20E-05,2.69E-05,5.64E-05,6.45E-05,7.77E-06,6.73E-06,2.42E-05,1.11E-05,7.72E-06,2.16E-05,2.17E-05,2.07E-05,1.97E-05,1.55E-05,1.62E-05,1.77E-05,1.42E-05,4.35E-06,4.10E-06,3.00E-05,2.32E-05,4.19E-05,1.61E-05,2.80E-05,1.48E-05,3.98E-05,3.51E-05,2.40E-05,2.41E-05,3.29E-05,3.04E-05,3.79E-05,1.43E-05
specificMedQ,6.65E-08,0,1.68E-06,1.75E-06,1.99E-06,0,0,1.22E-06,0,0,5.48E-07,0,0,0,1.50E-07,0,0,0,2.68E-08,1.70E-08,1.62E-06,0,1.54E-06,0,1.62E-06,5.08E-09,1.16E-06,2.04E-06,2.44E-08,1.62E-08,3.03E-07,1.68E-06,1.01E-06,0
cvMeanQ,5.762400537,10.88466645,3.557233087,2.891972291,2.774965092,9.804129574,6.353596274,4.070106961,9.522309241,6.516629017,3.81287444,3.887388229,4.025110934,4.117237861,4.066992854,4.14160176,3.938879867,4.461145534,3.908227129,3.629039149,4.038007301,6.143580668,4.311192215,6.768388592,4.236921993,7.028261987,4.310968082,3.87862276,5.897342562,5.987489461,6.141884769,4.285886845,5.053982716,4.864856
skewnessQ,22.63104916,32.38318822,8.521945023,6.674968158,6.168602183,35.15100743,23.33107146,9.671730454,21.12904478,19.95029762,8.748833413,8.566773245,8.875818795,8.812465859,9.100037249,8.381801386,8.366656166,8.755918501,14.78412216,11.39300264,10.06824871,14.50622998,9.885122184,18.45317646,11.86585571,19.95479844,9.919805845,11.05135497,17.29779217,16.92067292,17.01888372,12.14008279,17.33590928,10.01305901
meanQ01,16.24059151,2.326029926,566.6900692,33.60229996,7.825853112,2.331609721,19.81607647,450.5836991,1.909759089,28.08000577,460.5730268,480.3042401,448.692357,440.5198398,344.940963,384.6572165,417.4930143,337.3597572,6.865173826,1.630377552,406.3870259,3.256521412,232.4727012,1.105603196,184.6148631,5.711635346,217.5330717,137.4645968,64.29386075,47.14820152,57.74786821,180.4469723,51.45034025,16.38180196
meanQ02,19.39747158,2.763879641,906.0062868,46.58401949,10.95251103,2.959704519,28.62026683,725.4063676,1.859523195,39.0021843,796.8425022,816.5257741,784.081421,760.5271765,666.021812,731.4110778,775.1682429,656.8073546,9.213645519,2.05927424,634.7519081,5.52666145,366.3242329,1.821477589,261.6420496,7.151706296,323.3235574,178.1952713,75.93695986,55.10605211,82.72172781,247.3267686,87.25668585,20.09442494
meanQ03,9.937108409,1.734067442,611.2842533,31.95259539,7.388603351,1.19352492,15.71959948,465.9870334,1.286410917,23.10075482,574.9577353,565.0643248,555.9353609,521.042242,526.6006482,540.0983596,583.5203724,480.3921523,5.017713403,1.291163328,375.8465942,2.764599595,213.8478846,1.205825181,149.0370493,5.2267313,185.6301532,103.5467543,39.16859775,28.73842183,38.39780951,136.1097625,63.23631899,9.279959498
meanQ04,1.39362934,0.227462412,144.0697982,9.992483217,2.270169913,0.131153166,3.783580652,94.92664322,0.265972209,5.24556049,123.9355706,113.5124031,108.1621535,95.72050323,106.7841014,95.01043865,113.0917249,76.95252455,1.764126737,0.442409325,76.32745764,0.494156198,39.3580662,0.135130681,34.48337121,0.634757432,33.88263628,28.01558831,8.921402568,6.514217814,5.637128816,32.38993714,15.54215503,2.686269603
meanQ05,0.690259302,0.063460161,51.13697415,4.071190321,0.820532002,0.043365042,1.385650481,28.15084607,0.088308115,1.7201492,37.69807679,33.39220887,30.280527,26.26816462,28.64104428,22.99236388,30.49782641,17.08640988,0.860410246,0.199934711,24.2995473,0.121206094,10.94391197,0.029454386,13.35515853,0.179108177,10.06997085,11.43930571,3.976812476,2.940416574,2.193616727,13.0077544,4.924301672,1.45195725
meanQ06,0.383300435,0.043424554,29.54793478,2.041284946,0.491740177,0.007972742,1.005916709,17.91418435,0.026848924,1.141133222,22.18619198,19.20871871,17.91222165,15.11255792,17.61034796,13.89358771,18.44426746,10.51857718,0.478253456,0.104469211,15.05934455,0.099180426,5.954844914,0.029765919,8.762313637,0.148561002,5.155035281,7.374520931,3.120525108,2.256456011,1.325338029,8.377171081,1.925981931,1.167917476
meanQ07,0.271269095,0.037992352,16.02616042,1.239306835,0.292350922,0.003958667,0.670329854,10.1751381,0.023125623,0.759006966,10.71901042,9.467759128,8.521829772,7.366205778,7.538826517,5.926344873,8.046629451,4.19954901,0.192322665,0.05365362,9.208007812,0.056715626,3.309082431,0.018965365,5.898755872,0.109878619,2.899905437,4.868832473,2.141981109,1.606426391,1.083845977,5.723403099,0.784703161,0.810631857
meanQ08,0.11167504,0.019124432,7.292640889,0.487670409,0.11005912,0.002097834,0.332584227,4.358954761,0.002866777,0.360117762,4.262657754,3.299978766,2.956975116,2.267180431,2.891400659,1.599006411,2.718599974,0.806997387,0.137400222,0.039681833,3.800049556,0.021594185,0.756694164,0.009296649,2.988093664,0.058845176,0.586447748,2.482103927,1.028421123,0.723299262,0.399776089,2.852731488,0.243534153,0.408195373
meanQ09,0.138442816,0.009084754,4.393613747,0.205004085,0.06040386,0.000968578,0.156700806,3.328597886,0.001122243,0.160898755,2.506137983,2.0312734,1.858780931,1.595888819,1.612465109,1.258060991,1.629836443,0.926561384,0.053180605,0.011538428,3.216134262,0.014389086,0.876726891,0.006668436,2.380643117,0.028999494,0.750241663,1.990226764,0.75443761,0.592879116,0.41814429,2.350382567,0.090473168,0.191432866
meanQ10,0.362256639,0.0337108,10.09629378,0.815752161,0.209220946,0.005739187,0.23969237,6.357542978,0.031428967,0.274938762,5.626353941,4.700375779,4.157781539,3.595742119,3.182219084,2.552152313,3.343755173,1.825672989,0.141980948,0.040897894,6.234077509,0.04478829,2.270501371,0.011552674,4.159085456,0.063213117,2.061686959,3.530140259,1.309121238,1.00519299,0.967681382,4.185334091,0.099813397,0.331851729
meanQ11,1.16836972,0.150254098,27.97206509,2.177233732,0.562128983,0.048502479,0.791755503,21.35232335,0.044738453,1.02104158,15.25444206,12.18901406,9.94937827,8.469017721,6.704654476,4.347748766,6.569059046,2.859318844,0.513163648,0.147066745,21.27231733,0.21815286,8.280514007,0.050386204,13.55473858,0.286884246,7.329319992,11.56748846,4.626459204,3.662150964,3.179615954,13.54432801,0.479437091,1.057561203
meanQ12,3.709926461,0.465754788,142.5342054,10.79562952,2.462371056,0.190799914,5.074987764,101.1438374,0.428409797,6.719107517,102.8294896,100.7966853,90.66538462,84.5409732,67.0904512,65.4522295,78.47237942,50.99726273,2.276941359,0.623249194,94.21898702,0.760877508,47.60315286,0.249296785,48.496798,1.267499753,44.0876916,39.73039966,17.57993314,13.01809679,11.77066598,47.47433285,9.829135495,5.943280637
cvQ01,3.479868732,6.655133377,2.204792138,1.769667687,1.621672896,4.316860088,4.451928249,2.475022855,5.702567288,4.531680773,2.39752008,2.392117086,2.503991752,2.532774876,2.52987871,2.546265616,2.408607824,2.769020128,2.37905904,2.319300717,2.328218851,3.35071455,2.449344449,3.583778065,2.528729598,4.149182996,2.484245449,2.397361036,3.458693325,3.515762532,3.293911074,2.555148898,3.63934611,2.799313736
cvQ02,2.343035218,4.870039803,1.611714828,1.395744541,1.352071466,5.063163226,2.805368307,1.840342471,3.880424816,2.802191275,1.653385556,1.665495994,1.705999165,1.735937177,1.745935169,1.706371921,1.654283711,1.813692088,2.174595166,1.765253472,1.88150752,3.030561797,1.96215132,3.3042604,2.04206631,3.345645404,1.926278067,1.858665035,2.882954926,2.946889468,2.906945179,2.069675867,2.342912593,2.323304385
cvQ03,4.238698665,7.194669876,2.023813408,1.399480083,1.314075135,5.063923012,3.808516195,2.323037383,6.166453523,3.886562424,2.13427545,2.159268155,2.230639142,2.272478216,2.233796199,2.244305752,2.160320938,2.411997494,1.832021138,2.09624111,2.362573148,3.533200498,2.435506972,4.113887434,2.697289803,4.343018876,2.446142697,2.463403872,4.23419898,4.320303504,4.151742291,2.759940022,2.514322405,3.552158019
cvQ04,3.963274199,9.00439206,2.523435998,2.044093691,2.012081115,12.82144808,5.776969168,3.053210378,9.234108399,5.452058969,2.776651156,3.008786659,3.167925457,3.38077064,2.974104581,3.459842738,3.086851044,3.912754124,2.966646895,3.048923272,3.044571637,7.589377932,3.373992343,6.143824831,3.140474056,5.811671382,3.168791577,3.051004655,6.415196285,6.421500993,4.989138945,3.195389417,2.320308921,6.8142249
cvQ05,8.998585303,7.332112581,3.155028165,3.492880472,3.401905359,22.83571684,6.403421524,3.694628805,14.1599656,6.547861457,3.877718277,4.342348271,4.74082284,5.110371035,4.357353327,5.57558249,4.557727803,6.656365681,4.170331614,4.912159525,3.712323392,8.47295782,4.182390773,11.61522226,3.947255618,7.765451566,4.120462066,3.832996007,6.603060682,6.684316323,7.541816,4.105171248,1.607790576,7.069430372
cvQ06,6.527847287,9.024746299,3.97679092,4.145155896,4.102932413,9.101559903,9.100380783,4.781900033,12.51776001,8.329439937,5.067401073,5.579907868,6.101519999,6.514008685,5.572034052,6.998458814,5.805929035,8.122937884,5.30586782,5.596328029,4.764428532,6.632739282,4.985224454,6.816271736,5.183967002,6.556024741,5.22656597,5.380773444,8.755791808,8.720138379,8.219339701,5.440234149,2.645357193,9.15383907
